From /home/will/bnl/hsr_lattice/EIC-HSR-240102b/hi-n/275-10-collision, run:
tao -init tao.init 
Then run:
sho track -points 1000 -twiss -dispersion -position no -momentum no
(Accurate as of April 5, 2024 - have to remove the px, py, pz columns manually)
# Ix S Beta_a Alpha_a Beta_b Alpha_b Eta_x Etap_x Eta_y Etap_y
1 0.000000 0.800000 0.000000 0.072000 0.000000 -0.000000 0.000000 0.000000 0.000000
2 3.837729 19.204207 -4.796380 204.563193 -53.293109 0.000000 0.000000 0.000000 0.000000
3 7.675458 103.050740 -22.827809 568.978072 -7.272852 0.000000 0.000000 0.000000 0.000000
4 11.513186 508.576831 -66.260512 294.772414 29.600776 0.000000 0.000000 0.000000 -0.000000
5 15.350915 813.347826 -9.174155 190.420522 3.016514 0.000000 0.000000 0.000000 -0.000000
6 19.188644 885.305837 -9.576001 168.048537 2.812972 0.000000 0.000000 0.000000 -0.000000
7 23.026373 960.348199 -9.977847 147.238830 2.609430 0.000000 0.000000 0.000000 -0.000000
8 26.864102 1038.474914 -10.379693 127.991402 2.405888 0.000000 0.000000 0.000000 -0.000000
9 30.701830 1119.685982 -10.781539 110.306252 2.202346 0.000000 0.000000 0.000000 -0.000000
10 34.539559 1203.981401 -11.183385 94.183382 1.998803 0.000000 0.000000 0.000000 -0.000000
11 38.377288 1290.272348 -8.684010 79.690494 1.616181 0.000000 0.000000 0.000000 -0.000000
12 42.215017 1300.022317 0.004143 71.195930 0.976830 0.000000 0.000000 0.000000 -0.000000
13 46.052746 1300.001845 0.001191 64.102572 0.871492 0.000000 0.000000 0.000000 -0.000000
14 49.890475 1300.004031 -0.001761 57.817736 0.766153 0.000000 0.000000 0.000000 -0.000000
15 53.728203 1300.028877 -0.004713 52.341422 0.660814 0.000000 0.000000 0.000000 -0.000000
16 57.565932 1189.340788 48.397759 52.037734 -1.421673 0.000000 -0.000000 0.000000 -0.000000
17 61.403661 846.884549 40.836331 63.804802 -1.644481 0.000000 -0.000000 -0.000000 -0.000000
18 65.241390 562.465734 33.274902 77.282015 -1.867288 0.000000 -0.000000 -0.000000 -0.000000
19 69.079119 336.084343 25.713474 92.469375 -2.090095 0.000000 -0.000000 -0.000000 -0.000000
20 72.916847 167.740377 18.152045 109.366881 -2.312902 0.000000 -0.000000 -0.000000 -0.000000
21 76.754576 57.439994 10.592179 127.947348 -2.530730 -0.019116 -0.013253 -0.000000 -0.000000
22 80.592305 7.492850 2.717289 118.703029 8.447929 -0.089348 -0.022369 -0.000000 0.000000
23 84.430034 3.115576 -1.576699 62.840357 6.108251 -0.175194 -0.022369 -0.000000 0.000000
24 88.267763 31.314688 -5.059312 25.274914 3.118667 -0.259408 -0.015773 -0.000000 0.000000
25 92.105491 37.076080 1.408016 24.316740 -1.244839 -0.193669 0.032007 -0.000000 -0.000000
26 95.943220 27.453690 1.099298 35.415704 -1.647227 -0.070836 0.032007 -0.000000 -0.000000
27 99.780949 20.200854 0.790579 49.603182 -2.049615 0.051996 0.032007 -0.000000 -0.000000
28 103.618678 15.317572 0.481861 66.879171 -2.452003 0.174829 0.032007 -0.000000 -0.000000
29 107.456407 18.186088 -1.289906 60.689689 3.880853 0.340684 0.054883 -0.000000 0.000000
30 111.294135 30.244076 -1.852007 34.799543 2.865289 0.556350 0.058046 -0.000000 0.000000
31 115.131864 36.840440 1.828451 21.861257 -0.216604 0.697223 -0.014304 -0.000000 -0.000000
32 118.969593 24.542011 1.376491 24.229110 -0.400390 0.645081 -0.009546 -0.000000 -0.000000
33 122.807322 15.709474 0.924818 28.007603 -0.584175 0.638728 0.006235 -0.000000 -0.000000
34 126.645051 10.348257 0.471887 33.196734 -0.767961 0.685387 0.014136 -0.000000 -0.000000
35 130.482779 10.236902 -0.376595 32.783913 0.647738 0.810675 0.048966 -0.000000 0.000000
36 134.320508 14.972897 -1.154541 28.046792 1.144632 1.030593 0.081843 -0.000000 0.000000
37 138.158237 29.046939 -2.255766 17.269631 1.175918 1.424534 0.109018 -0.000000 0.000000
38 141.995966 47.908569 -0.348775 10.617568 0.059029 1.832242 0.013096 -0.000000 0.000000
39 145.833695 34.212116 1.736156 15.865510 -0.953449 1.545110 -0.076622 -0.000000 0.000000
40 149.671424 22.607949 1.287298 24.955879 -1.415235 1.281235 -0.060891 -0.000000 0.000000
41 153.509152 14.454206 0.837151 37.590668 -1.877022 1.077762 -0.045145 -0.000000 0.000000
42 157.346881 11.455047 -0.589919 46.011317 2.129894 0.985221 0.043953 -0.000000 0.000000
43 161.184610 17.714984 -1.040929 31.435614 1.668108 1.162352 0.052282 -0.000000 0.000000
44 165.022339 27.430920 -1.490549 20.404331 1.206322 1.393202 0.068022 0.000000 0.000000
45 168.860068 40.592498 -1.938858 12.917469 0.744536 1.684284 0.082663 0.000000 0.000000
46 172.697796 44.533027 2.054548 11.565278 -0.625801 1.765852 -0.082663 0.000000 0.000000
47 176.535525 30.486417 1.605932 18.140796 -1.087587 1.462318 -0.072066 0.000000 0.000000
48 180.373254 19.883480 1.156653 28.260735 -1.549373 1.215938 -0.056330 0.000000 0.000000
49 184.210983 12.733845 0.706039 41.925095 -2.011160 1.028592 -0.043953 0.000000 0.000000
50 188.048712 12.916535 -0.721103 41.412165 1.995756 1.034218 0.043953 0.000000 -0.000000
51 191.886440 20.181530 -1.171661 27.866033 1.533970 1.223183 0.056855 0.000000 -0.000000
52 195.724169 30.899486 -1.620893 17.864321 1.072184 1.471577 0.072591 0.000000 -0.000000
53 199.561898 45.060958 -2.069556 11.407030 0.610398 1.776434 0.082663 0.000000 -0.000000
54 203.399627 40.098029 1.923849 13.110059 -0.759939 1.673702 -0.082663 0.000000 0.000000
55 207.237356 27.051224 1.475573 20.715148 -1.221725 1.384528 -0.067497 0.000000 0.000000
56 211.075084 17.450405 1.025911 31.864658 -1.683511 1.155693 -0.051756 0.000000 0.000000
57 214.912813 11.305943 0.574855 46.558589 -2.145298 0.979595 -0.043953 0.000000 0.000000
58 218.750542 14.670459 -0.852182 37.112080 1.861618 1.083580 0.045682 0.000000 -0.000000
59 222.588271 22.939438 -1.302293 24.595519 1.399832 1.289112 0.061428 0.000000 -0.000000
60 226.426000 34.658508 -1.751100 15.623378 0.938046 1.555045 0.077158 0.000000 -0.000000
61 230.263729 49.273907 -0.720510 10.310987 0.169033 1.858300 0.027313 -0.000000 -0.000000
62 234.101457 35.953824 1.793748 14.953906 -0.894077 1.583513 -0.078655 -0.000000 -0.000000
63 237.939186 23.906813 1.345089 23.588566 -1.355863 1.311832 -0.062926 -0.000000 -0.000000
64 241.776915 15.308924 0.895083 35.767647 -1.817649 1.100546 -0.047181 -0.000000 -0.000000
65 245.614644 10.930879 -0.369983 48.014606 1.476902 0.964829 0.029605 -0.000000 0.000000
66 249.452373 16.716320 -0.983036 33.111061 1.727480 1.137054 0.050257 -0.000000 0.000000
67 253.290101 25.988475 -1.432815 21.624070 1.265694 1.360138 0.065999 -0.000000 0.000000
68 257.127830 38.707670 -1.881159 13.681501 0.803908 1.643604 0.081724 -0.000000 0.000000
69 260.965559 46.589076 2.112398 10.977009 -0.566429 1.806640 -0.082663 -0.000000 -0.000000
70 264.803288 32.099662 1.663589 17.096819 -1.028215 1.498376 -0.074088 -0.000000 -0.000000
71 268.641017 21.053449 1.214492 26.761050 -1.490001 1.244232 -0.058354 -0.000000 -0.000000
72 272.478745 13.459241 0.764103 39.969702 -1.951787 1.050279 -0.043953 -0.000000 -0.000000
73 276.316474 12.233574 -0.663039 43.410949 2.055128 1.012531 0.043953 -0.000000 0.000000
74 280.154203 19.053835 -1.113808 29.409108 1.593342 1.195629 0.054831 -0.000000 0.000000
75 283.991932 29.328384 -1.563216 18.951688 1.131556 1.436259 0.070569 -0.000000 0.000000
76 287.829661 43.047185 -2.011706 12.038689 0.669770 1.735646 0.082663 -0.000000 0.000000
77 291.667389 42.025100 1.981699 12.389418 -0.700567 1.714490 -0.082663 0.000000 0.000000
78 295.505118 28.535855 1.533288 19.538799 -1.162353 1.418331 -0.069519 0.000000 0.000000
79 299.342847 18.491374 1.083792 30.232601 -1.624139 1.181730 -0.053781 0.000000 0.000000
80 303.180576 11.901882 0.632920 44.470823 -2.085926 1.001282 -0.043953 0.000000 0.000000
